timestamp,cpu_usage,mem_used_mb,mem_free_mb
2026-04-18 10:38:15,34.9,1291,1164
2026-04-18 10:38:21,30.6,1288,1166
2026-04-18 10:38:26,27.7,1289,1165
2026-04-18 10:38:31,28.3,1282,1172
2026-04-18 10:38:37,28.3,1283,1170
2026-04-18 10:38:42,28.9,1282,1172
2026-04-18 10:38:47,27.7,1277,1177
2026-04-18 10:38:52,28.3,1282,1172
2026-04-18 10:38:58,34.4,1284,1170
2026-04-18 10:39:03,31.8,1285,1169
2026-04-18 10:39:09,54.3,1298,1154
2026-04-18 10:39:14,33.3,1282,1171
2026-04-18 10:39:19,33.3,1279,1173
2026-04-18 10:39:25,29.2,1280,1172
2026-04-18 10:39:30,32.1,1277,1175
2026-04-18 10:39:35,33.3,1285,1167
2026-04-18 10:39:41,28.3,1285,1166
2026-04-18 10:39:46,32.2,1280,1171
2026-04-18 10:39:51,47.7,1295,1157
2026-04-18 10:39:57,36,1296,1155
2026-04-18 10:40:02,30,1290,1162
2026-04-18 10:40:07,33.9,1297,1155
2026-04-18 10:40:13,29.4,1309,1124
2026-04-18 10:40:18,33.9,1302,1125
2026-04-18 10:40:23,37.1,1316,1106
2026-04-18 10:40:29,1.9,1318,1104
2026-04-18 10:40:34,8.8,1316,1106
2026-04-18 10:40:40,8.7,1316,1106
2026-04-18 10:40:45,5.1,1320,1102
2026-04-18 10:40:51,4.7,1320,1102
2026-04-18 10:40:56,4.9,1313,1108
2026-04-18 10:41:02,9.6,1315,1106
2026-04-18 10:41:07,2.2,1312,1109
2026-04-18 10:41:12,8.5,1312,1109
2026-04-18 10:41:18,9.1,1305,1116
2026-04-18 10:41:23,6.3,1309,1112
2026-04-18 10:41:29,6.5,1308,1113
2026-04-18 10:41:34,14.6,1304,1116
2026-04-18 10:41:39,9.7,1197,1224
2026-04-18 10:41:45,2.5,1188,1232
2026-04-18 10:41:50,8.3,1192,1227
2026-04-18 10:41:56,1.6,1189,1231
2026-04-18 10:42:02,6.3,1193,1227
2026-04-18 10:42:07,5,1193,1227
2026-04-18 10:42:12,8.6,1190,1230
2026-04-18 10:42:18,12.1,1191,1228
2026-04-18 10:42:23,9.5,1195,1224
2026-04-18 10:42:29,2.5,1197,1222
2026-04-18 10:42:34,6.5,1199,1220
2026-04-18 10:42:39,3.4,1200,1220
2026-04-18 10:42:45,6.6,1195,1224
2026-04-18 10:42:50,6.9,1199,1220
2026-04-18 10:42:56,7.3,1198,1221
2026-04-18 10:43:01,10.1,1199,1220
2026-04-18 10:43:07,4.3,1201,1218
2026-04-18 10:43:12,7.5,1194,1225
2026-04-18 10:43:17,8.6,1194,1225
2026-04-18 10:43:23,11.1,1181,1238
2026-04-18 10:43:28,1.9,1189,1229
2026-04-18 10:43:34,5,1190,1229
2026-04-18 10:43:39,6.4,1194,1225
2026-04-18 10:43:44,18,1217,1202
2026-04-18 10:43:50,8.6,1214,1205
2026-04-18 10:43:55,6.5,1221,1197
2026-04-18 10:44:01,8.2,1221,1197
2026-04-18 10:44:06,6.7,1215,1204
2026-04-18 10:44:11,6.7,1212,1200
2026-04-18 10:44:17,30.9,1210,1201
2026-04-18 10:44:22,30.6,1217,1192
2026-04-18 10:44:28,10.5,1217,1190
2026-04-18 10:44:33,27.7,1208,1197
2026-04-18 10:44:39,9.3,1208,1195
2026-04-18 10:44:44,12.1,1211,1191
2026-04-18 10:44:49,6.4,1210,1191
2026-04-18 10:44:55,19,1203,1197
2026-04-18 10:45:00,14.5,1211,1188
2026-04-18 10:45:06,42,1211,1186
2026-04-18 10:45:11,12.5,1211,1184
2026-04-18 10:45:16,30.9,1210,1183
2026-04-18 10:45:22,9.4,1203,1189
2026-04-18 10:45:27,26.8,1297,977
2026-04-18 10:45:33,14,1249,1031
2026-04-18 10:45:38,5.9,1223,1057
2026-04-18 10:45:44,45.6,1228,1052
2026-04-18 10:45:49,6.7,1224,1054
2026-04-18 10:45:55,60,1224,1054
2026-04-18 10:46:00,6.7,1219,1059
2026-04-18 10:46:05,7.6,1221,1057
2026-04-18 10:46:11,2.2,1223,1055
2026-04-18 10:46:16,10.1,1222,1056
2026-04-18 10:46:21,8.2,1222,1056
2026-04-18 10:46:27,7.2,1218,1060
2026-04-18 10:46:32,4.4,1221,1056
2026-04-18 10:46:38,4.2,1221,1056
2026-04-18 10:46:43,4.2,1211,1067
2026-04-18 10:46:48,2.1,1219,1059
2026-04-18 10:46:53,5.2,1219,1059
2026-04-18 10:46:59,4.1,1235,1042
2026-04-18 10:47:04,18.6,1233,1044
2026-04-18 10:47:10,9.4,1233,1044
2026-04-18 10:47:15,4.3,1231,1047
2026-04-18 10:47:20,6.9,1231,1047
2026-04-18 10:47:26,7.3,1219,1058
2026-04-18 10:47:31,7.3,1227,1050
2026-04-18 10:47:37,68,1223,1017
2026-04-18 10:47:42,39.5,1243,631
2026-04-18 10:47:47,31.8,1326,276
2026-04-18 10:47:53,36.2,1473,175
2026-04-18 10:47:58,28.6,1487,137
2026-04-18 10:48:03,20.8,1477,136
2026-04-18 10:48:09,9.8,1473,126
2026-04-18 10:48:14,25.5,1473,125
2026-04-18 10:48:20,23,1478,117
2026-04-18 10:48:25,74.4,1507,190
2026-04-18 10:48:30,49,1625,134
2026-04-18 10:48:36,15.2,1593,135
2026-04-18 10:48:41,51,1634,106
2026-04-18 10:48:46,36.7,1618,121
2026-04-18 10:48:52,44.1,1616,118
2026-04-18 10:48:57,57.4,1617,122
2026-04-18 10:49:03,60.8,1616,117
2026-04-18 10:49:08,29.2,1586,153
2026-04-18 10:49:14,10.4,1585,152
2026-04-18 10:49:19,6.2,1581,155
2026-04-18 10:49:25,12.1,1580,155
2026-04-18 10:49:30,11.3,1582,152
2026-04-18 10:49:35,21.5,1579,154
2026-04-18 10:49:41,44.3,1571,163
2026-04-18 10:49:46,54,1683,103
2026-04-18 10:49:52,34.6,1687,98
2026-04-18 10:49:57,4.3,1686,115
2026-04-18 10:50:02,5.5,1688,112
2026-04-18 10:50:08,7.5,1688,112
2026-04-18 10:50:13,8.2,1695,104
2026-04-18 10:50:19,9.7,1695,104
2026-04-18 10:50:24,44.7,1701,99
2026-04-18 10:50:29,41.7,1781,109
2026-04-18 10:50:35,65.9,1815,108
2026-04-18 10:50:40,64.4,1709,232
2026-04-18 10:50:45,8.9,1709,229
2026-04-18 10:50:51,8.6,1707,230
2026-04-18 10:50:56,6.7,1713,224
2026-04-18 10:51:01,9.7,1713,224
2026-04-18 10:51:07,7.8,1714,223
2026-04-18 10:51:12,64.6,1712,224
2026-04-18 10:51:18,6.6,1709,228
2026-04-18 10:51:23,53.3,1713,223
2026-04-18 10:51:28,20,1716,220
2026-04-18 10:51:34,8.9,1712,224
2026-04-18 10:51:39,4.9,1713,223
2026-04-18 10:51:45,46.8,1716,218
2026-04-18 10:51:50,56.8,1759,166
2026-04-18 10:51:55,43.8,1774,150
2026-04-18 10:52:01,79.6,1783,116
2026-04-18 10:52:06,45.9,1788,99
2026-04-18 10:52:11,14.6,1785,113
2026-04-18 10:52:17,67.4,1778,144
2026-04-18 10:52:22,61,1783,140
2026-04-18 10:52:27,49,1788,132
2026-04-18 10:52:33,66.7,1766,139
2026-04-18 10:52:38,43.3,1766,139
2026-04-18 10:52:43,13.6,1765,137
2026-04-18 10:52:49,70.6,1770,126
2026-04-18 10:52:54,35.2,1807,103
2026-04-18 10:52:59,72.4,1905,106
2026-04-18 10:53:05,86.8,1946,99
2026-04-18 10:53:10,69.6,1978,109
2026-04-18 10:53:15,76.6,1969,121
2026-04-18 10:53:21,22.4,1954,131
2026-04-18 10:53:26,36.4,1948,136
2026-04-18 10:53:31,66.7,1988,116
2026-04-18 10:53:37,42.9,2005,104
2026-04-18 10:53:42,22.4,2003,110
2026-04-18 10:53:47,75.5,1962,142
2026-04-18 10:53:53,92.3,1982,114
2026-04-18 10:53:58,66,1995,114
2026-04-18 10:54:03,71.9,2020,154
2026-04-18 10:54:09,10.3,2012,150
2026-04-18 10:54:14,21.5,2021,138
2026-04-18 10:54:19,22,2028,131
2026-04-18 10:54:25,40.3,2020,138
2026-04-18 10:54:30,84.8,2047,110
2026-04-18 10:54:35,44.2,1946,231
2026-04-18 10:54:41,18,1942,234
2026-04-18 10:54:46,54.9,1952,224
2026-04-18 10:54:52,6.1,1974,200
2026-04-18 10:54:57,4.1,1961,214
2026-04-18 10:55:02,50,1963,211
2026-04-18 10:55:08,73.1,1961,213
2026-04-18 10:55:13,86.8,1984,187
2026-04-18 10:55:18,52.2,2026,145
2026-04-18 10:55:24,27.1,2030,139
2026-04-18 10:55:29,57.4,1982,181
2026-04-18 10:55:35,53.6,1991,172
2026-04-18 10:55:40,49,2023,139
2026-04-18 10:55:45,45,2117,115
2026-04-18 10:55:51,56.5,2134,106
